uf,cod_municipio,municipio,esf,equipes,populacao,equipes_por_100mil,cobertura_pct
MA,210940,PRIMEIRA CRUZ,7.0,7.0,13920.0,50.3,176.0
MA,210945,RAPOSA,11.0,11.0,32156.0,34.2,119.72
MA,210950,RIACHÃO,11.0,11.0,22740.0,48.4,169.3
MA,210955,RIBAMAR FIQUENE,4.0,4.0,7601.0,52.6,184.18
MA,210960,ROSÁRIO,21.0,21.0,39761.0,52.8,184.85
MA,210970,SAMBAÍBA,3.0,3.0,6234.0,48.1,168.43
MA,210975,SANTA FILOMENA DO MARANHÃO,3.0,5.0,6833.0,73.2,230.49
MA,210980,SANTA HELENA,13.0,13.0,43200.0,30.1,105.32
MA,210990,SANTA INÊS,45.0,45.0,88249.0,51.0,178.47
MA,211000,SANTA LUZIA,35.0,35.0,58839.0,59.5,208.19
MA,211003,SANTA LUZIA DO PARUÁ,11.0,11.0,24890.0,44.2,154.68
MA,211010,SANTA QUITÉRIA DO MARANHÃO,13.0,13.0,24495.0,53.1,185.75
MA,211020,SANTA RITA,19.0,19.0,38542.0,49.3,172.53
MA,211023,SANTANA DO MARANHÃO,6.0,7.0,10759.0,65.1,219.58
MA,211027,SANTO AMARO DO MARANHÃO,8.0,8.0,14287.0,56.0,195.98
MA,211030,SANTO ANTÔNIO DOS LOPES,7.0,7.0,14628.0,47.9,167.48
MA,211172,SATUBINHA,5.0,6.0,8821.0,68.0,228.14
MA,211174,SENADOR ALEXANDRE COSTA,6.0,6.0,10447.0,57.4,201.01
MA,211176,SENADOR LA ROCQUE,8.0,8.0,15044.0,53.2,186.12
MA,211178,SERRANO DO MARANHÃO,5.0,5.0,10475.0,47.7,167.06
MA,211190,SUCUPIRA DO NORTE,5.0,5.0,10471.0,47.8,167.12
MA,211195,SUCUPIRA DO RIACHÃO,2.0,2.0,5081.0,39.4,137.76
MA,211040,SÃO BENEDITO DO RIO PRETO,9.0,9.0,18810.0,47.8,167.46
MA,211050,SÃO BENTO,19.0,19.0,48166.0,39.4,138.06
MA,211060,SÃO BERNARDO,12.0,13.0,27910.0,46.6,156.75
