uf,ano,cnae,cnae_nome,tabela,unidades_locais,empresas,pessoal_ocupado_3112,valor_bruto_prod_ind_mil_rs,valor_transf_ind_mil_rs,receita_liquida_vendas_mil_rs,salarios_remuneracoes_mil_rs
AP,2023,116905,09 Atividades de apoio à extração de minerais,1849,,,,,,,
AP,2024,116905,09 Atividades de apoio à extração de minerais,10457,,,,,,,
MA,2023,116905,09 Atividades de apoio à extração de minerais,1849,3.0,,,,,,
MA,2024,116905,09 Atividades de apoio à extração de minerais,10457,4.0,3.0,,,,,
MT,2023,116905,09 Atividades de apoio à extração de minerais,1849,1.0,,,,,,
MT,2024,116905,09 Atividades de apoio à extração de minerais,10457,4.0,4.0,,,,,
PA,2023,116905,09 Atividades de apoio à extração de minerais,1849,7.0,,16.0,2227.0,1613.0,2264.0,
PA,2024,116905,09 Atividades de apoio à extração de minerais,10457,5.0,5.0,67.0,14091.0,12746.0,14011.0,
RO,2023,116905,09 Atividades de apoio à extração de minerais,1849,1.0,,,,,,
RO,2024,116905,09 Atividades de apoio à extração de minerais,10457,1.0,1.0,,,,,
RR,2023,116905,09 Atividades de apoio à extração de minerais,1849,,,,,,,
RR,2024,116905,09 Atividades de apoio à extração de minerais,10457,,,,,,,
TO,2023,116905,09 Atividades de apoio à extração de minerais,1849,,,,,,,
TO,2024,116905,09 Atividades de apoio à extração de minerais,10457,,,,,,,
AC,2023,116910,C Indústrias de transformação,1849,252.0,,6233.0,2473148.0,646546.0,2550686.0,
AC,2024,116910,C Indústrias de transformação,10457,265.0,238.0,6377.0,3346512.0,920625.0,3411153.0,
AM,2023,116910,C Indústrias de transformação,1849,1251.0,,113086.0,164997999.0,58242578.0,169063246.0,
AM,2024,116910,C Indústrias de transformação,10457,1290.0,1189.0,125257.0,194238832.0,71595817.0,196886748.0,
AP,2023,116910,C Indústrias de transformação,1849,206.0,,4337.0,1214761.0,459623.0,1361749.0,
AP,2024,116910,C Indústrias de transformação,10457,220.0,212.0,4894.0,1388214.0,559640.0,1382202.0,
MA,2023,116910,C Indústrias de transformação,1849,1341.0,,41324.0,34694147.0,10099096.0,36655698.0,
