uf,ano,grupo,valor_mil_rs,quantidade_t
RO,2017,madeireiro,165206.0,1356161.0
RO,2017,nao_madeireiro,10095.0,3799.0
RO,2018,madeireiro,159685.0,1269466.0
RO,2018,nao_madeireiro,9431.0,3468.0
RO,2019,madeireiro,189924.0,1366376.0
RO,2019,nao_madeireiro,11339.0,3784.0
RO,2020,madeireiro,136526.0,841784.0
RO,2020,nao_madeireiro,11334.0,3713.0
RO,2021,madeireiro,532502.0,3008405.0
RO,2021,nao_madeireiro,11648.0,3667.0
RO,2022,madeireiro,7287.0,46505.0
RO,2022,nao_madeireiro,18417.0,5241.0
RO,2023,madeireiro,125620.0,952684.0
RO,2023,nao_madeireiro,18215.0,2873.0
RO,2024,madeireiro,212115.0,1510923.0
RO,2024,nao_madeireiro,18701.0,2795.0
RR,2015,madeireiro,37330.0,455457.0
RR,2015,nao_madeireiro,497.0,157.0
RR,2016,madeireiro,33361.0,526379.0
RR,2016,nao_madeireiro,610.0,185.0
RR,2017,madeireiro,53379.0,891092.0
RR,2017,nao_madeireiro,1009.0,346.0
RR,2018,madeireiro,58672.0,508296.0
RR,2018,nao_madeireiro,5962.0,2255.0
RR,2019,madeireiro,55060.0,526414.0
RR,2019,nao_madeireiro,6641.0,1990.0
RR,2020,madeireiro,41258.0,443322.0
RR,2020,nao_madeireiro,7797.0,2036.0
RR,2021,madeireiro,41579.0,427187.0
RR,2021,nao_madeireiro,9291.0,1990.0
RR,2022,madeireiro,43398.0,465989.0
RR,2022,nao_madeireiro,10779.0,1972.0
RR,2023,madeireiro,65901.0,695424.0
RR,2023,nao_madeireiro,11957.0,1972.0
RR,2024,madeireiro,49077.0,434050.0
RR,2024,nao_madeireiro,11567.0,1822.0
TO,2015,madeireiro,87867.0,1076362.0
TO,2015,nao_madeireiro,276.0,236.0
TO,2016,madeireiro,62855.0,1296175.0
TO,2016,nao_madeireiro,805.0,1169.0
TO,2017,madeireiro,57700.0,996634.0
TO,2017,nao_madeireiro,3528.0,2899.0
TO,2018,madeireiro,28458.0,848314.0
TO,2018,nao_madeireiro,3725.0,4003.0
TO,2019,madeireiro,19012.0,386399.0
TO,2019,nao_madeireiro,4218.0,4228.0
TO,2020,madeireiro,19825.0,401005.0
TO,2020,nao_madeireiro,20240.0,25735.0
TO,2021,madeireiro,23353.0,406511.0
TO,2021,nao_madeireiro,17793.0,16165.0
TO,2022,madeireiro,26309.0,423826.0
TO,2022,nao_madeireiro,7308.0,4220.0
TO,2023,madeireiro,52442.0,705388.0
TO,2023,nao_madeireiro,8177.0,3734.0
TO,2024,madeireiro,28197.0,359917.0
TO,2024,nao_madeireiro,14412.0,4651.0
