uf,ano,cod_produto,produto,quantidade_t,valor_mil_rs
AC,2017,3419,3.3 - Hevea (látex líquido),10.0,77.0
AC,2017,3423,5 - Fibras,2.0,3.0
AC,2017,3426,5.3 - Piaçava,2.0,3.0
AC,2017,3433,7.1 - Carvão vegetal,2264.0,1970.0
AC,2017,3434,7.2 - Lenha,376869.0,6178.0
AC,2017,3435,7.3 - Madeira em tora,213234.0,15767.0
AC,2017,3438,8 - Oleaginosos,0.0,3.0
AC,2017,3440,8.2 - Copaíba (óleo),0.0,3.0
AC,2018,11296,1.10 - Outros,383.0,250.0
AC,2018,3402,1 - Alimentícios,12613.0,40512.0
AC,2018,3403,1.1 - Açaí (fruto),4549.0,5160.0
AC,2018,3405,1.3 - Castanha-do-pará,7681.0,35102.0
AC,2018,3416,3 - Borrachas,190.0,944.0
AC,2018,3418,3.2 - Hevea (látex coagulado),190.0,944.0
AC,2018,3423,5 - Fibras,1.0,2.0
AC,2018,3426,5.3 - Piaçava,1.0,2.0
AC,2018,3433,7.1 - Carvão vegetal,2108.0,1873.0
AC,2018,3434,7.2 - Lenha,379139.0,6304.0
AC,2018,3435,7.3 - Madeira em tora,191082.0,14242.0
AC,2018,3438,8 - Oleaginosos,0.0,3.0
AC,2018,3440,8.2 - Copaíba (óleo),0.0,3.0
AC,2019,11296,1.10 - Outros,407.0,290.0
AC,2019,3402,1 - Alimentícios,12442.0,42943.0
AC,2019,3403,1.1 - Açaí (fruto),4738.0,6280.0
AC,2019,3405,1.3 - Castanha-do-pará,7297.0,36373.0
AC,2019,3416,3 - Borrachas,220.0,1538.0
AC,2019,3418,3.2 - Hevea (látex coagulado),220.0,1538.0
AC,2019,3423,5 - Fibras,1.0,2.0
AC,2019,3426,5.3 - Piaçava,1.0,2.0
AC,2019,3433,7.1 - Carvão vegetal,2069.0,1930.0
AC,2019,3434,7.2 - Lenha,374579.0,6408.0
AC,2019,3435,7.3 - Madeira em tora,259927.0,19743.0
AC,2019,3438,8 - Oleaginosos,0.0,4.0
AC,2019,3440,8.2 - Copaíba (óleo),0.0,4.0
AC,2020,11296,1.10 - Outros,401.0,296.0
AC,2020,3402,1 - Alimentícios,11824.0,23509.0
AC,2020,3403,1.1 - Açaí (fruto),4654.0,5565.0
AC,2020,3405,1.3 - Castanha-do-pará,6769.0,17648.0
AC,2020,3416,3 - Borrachas,318.0,3923.0
AC,2020,3418,3.2 - Hevea (látex coagulado),318.0,3923.0
AC,2020,3423,5 - Fibras,1.0,2.0
AC,2020,3426,5.3 - Piaçava,1.0,2.0
AC,2020,3433,7.1 - Carvão vegetal,2056.0,1921.0
AC,2020,3434,7.2 - Lenha,364314.0,6272.0
AC,2020,3435,7.3 - Madeira em tora,278581.0,23645.0
AC,2020,3438,8 - Oleaginosos,0.0,4.0
AC,2020,3440,8.2 - Copaíba (óleo),0.0,4.0
AC,2021,11296,1.10 - Outros,472.0,405.0
AC,2021,3402,1 - Alimentícios,13924.0,58842.0
AC,2021,3403,1.1 - Açaí (fruto),4521.0,6148.0
AC,2021,3405,1.3 - Castanha-do-pará,8931.0,52290.0
AC,2021,3416,3 - Borrachas,364.0,4768.0
AC,2021,3418,3.2 - Hevea (látex coagulado),364.0,4768.0
AC,2021,3423,5 - Fibras,1.0,2.0
AC,2021,3426,5.3 - Piaçava,1.0,2.0
AC,2021,3433,7.1 - Carvão vegetal,2070.0,2139.0
AC,2021,3434,7.2 - Lenha,343423.0,6310.0
AC,2021,3435,7.3 - Madeira em tora,443451.0,43473.0
AC,2021,3438,8 - Oleaginosos,0.0,4.0
AC,2021,3440,8.2 - Copaíba (óleo),0.0,4.0
AC,2022,11296,1.10 - Outros,576.0,486.0
AC,2022,3402,1 - Alimentícios,14149.0,65298.0
AC,2022,3403,1.1 - Açaí (fruto),4428.0,6208.0
AC,2022,3405,1.3 - Castanha-do-pará,9145.0,58605.0
AC,2022,3416,3 - Borrachas,389.0,5902.0
AC,2022,3418,3.2 - Hevea (látex coagulado),389.0,5902.0
AC,2022,3423,5 - Fibras,1.0,2.0
AC,2022,3426,5.3 - Piaçava,1.0,2.0
AC,2022,3433,7.1 - Carvão vegetal,1923.0,2202.0
AC,2022,3434,7.2 - Lenha,328684.0,6359.0
